scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_1,76,ghost3dnr,0.0010989031,29.590406,0.962605,,165.987366
scene_1,77,noisy,0.0001511121,38.207008,0.988668,,40.852810
scene_1,77,2dnr,0.0001510716,38.208172,0.988673,,40.842609
scene_1,77,dataset_3dnr,0.0000734061,41.342676,0.995504,,35.252365
scene_1,77,ghost3dnr,0.0014002338,28.537994,0.950973,,182.651840
scene_1,78,noisy,0.0001571045,38.038115,0.986319,,41.263493
scene_1,78,2dnr,0.0001570618,38.039295,0.986326,,41.252697
scene_1,78,dataset_3dnr,0.0000748997,41.255202,0.994925,,34.555443
scene_1,78,ghost3dnr,0.0022194746,26.537498,0.947533,,194.339310
scene_1,79,noisy,0.0001384614,38.586714,0.985323,,36.771584
scene_1,79,2dnr,0.0001384084,38.588375,0.985335,,36.754108
scene_1,79,dataset_3dnr,0.0000660558,41.800892,0.994712,,28.602509
scene_1,79,ghost3dnr,0.0016765259,27.755897,0.929089,,180.455063
scene_1,80,noisy,0.0001276205,38.940797,0.985125,,37.920040
scene_1,80,2dnr,0.0001275623,38.942776,0.985136,,37.906391
scene_1,80,dataset_3dnr,0.0000622717,42.057093,0.994535,,30.904381
scene_1,80,ghost3dnr,0.0010287988,29.876696,0.951487,,157.351288
scene_1,81,noisy,0.0001163500,39.342337,0.985135,,37.755581
scene_1,81,2dnr,0.0001162858,39.344731,0.985152,,37.740719
scene_1,81,dataset_3dnr,0.0000571266,42.431620,0.994503,,30.957079
scene_1,81,ghost3dnr,0.0012016929,29.202065,0.946744,,163.236023
scene_1,82,noisy,0.0001012002,39.948187,0.985466,,34.636574
scene_1,82,2dnr,0.0001011262,39.951363,0.985485,,34.618683
scene_1,82,dataset_3dnr,0.0000480855,43.179862,0.994536,,27.226492
scene_1,82,ghost3dnr,0.0009557067,30.196754,0.937629,,155.228836
scene_1,83,noisy,0.0000874043,40.584672,0.985312,,33.112648
scene_1,83,2dnr,0.0000873226,40.588732,0.985335,,33.092644
scene_1,83,dataset_3dnr,0.0000373236,44.280165,0.994424,,25.369026
scene_1,83,ghost3dnr,0.0009018354,30.448727,0.923305,,152.290329
scene_1,84,noisy,0.0000876940,40.570302,0.985634,,35.101067
scene_1,84,2dnr,0.0000876079,40.574568,0.985656,,35.080467
scene_1,84,dataset_3dnr,0.0000449407,43.473604,0.993801,,28.568110
scene_1,84,ghost3dnr,0.0011884557,29.250170,0.907262,,145.632645
scene_1,85,noisy,0.0000981142,40.082683,0.986587,,37.572777
scene_1,85,2dnr,0.0000980347,40.086202,0.986608,,37.560490
scene_1,85,dataset_3dnr,0.0000528629,42.768494,0.994470,,30.683435
scene_1,85,ghost3dnr,0.0059723081,22.238578,0.835852,,271.682556
scene_1,86,noisy,0.0001101723,39.579277,0.986880,,41.901031
scene_1,86,2dnr,0.0001101009,39.582090,0.986900,,41.892902
scene_1,86,dataset_3dnr,0.0000650288,41.868943,0.994752,,36.318626
scene_1,86,ghost3dnr,0.0211508386,16.746724,0.767746,,412.541809
scene_1,87,noisy,0.0001473296,38.317101,0.986564,,43.469269
