scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_2,70,ghost3dnr,0.0000603433,42.193708,0.995975,87.951134,89.817749
scene_2,71,noisy,0.0001137983,39.438643,0.986955,773.082031,64.259781
scene_2,71,2dnr,0.0001137544,39.440320,0.986964,771.305908,64.259598
scene_2,71,dataset_3dnr,0.0000406169,43.912936,0.994699,123.293068,56.368862
scene_2,71,ghost3dnr,0.0000605485,42.178967,0.995868,86.196037,87.630264
scene_2,72,noisy,0.0001142288,39.422244,0.987003,770.541626,64.078545
scene_2,72,2dnr,0.0001141852,39.423904,0.987011,768.744141,64.077972
scene_2,72,dataset_3dnr,0.0000404748,43.928156,0.994696,121.956200,56.094643
scene_2,72,ghost3dnr,0.0000534817,42.717951,0.996069,91.005264,81.764732
scene_2,73,noisy,0.0001143090,39.419194,0.986572,769.095215,64.070190
scene_2,73,2dnr,0.0001142655,39.420848,0.986580,767.269714,64.070595
scene_2,73,dataset_3dnr,0.0000409395,43.878571,0.994691,123.090858,56.571911
scene_2,73,ghost3dnr,0.0000522393,42.820029,0.996157,87.332947,81.482849
scene_2,74,noisy,0.0001143117,39.419093,0.986881,765.532776,64.281479
scene_2,74,2dnr,0.0001142682,39.420744,0.986887,763.740051,64.282494
scene_2,74,dataset_3dnr,0.0000410847,43.863202,0.994676,122.087402,56.900726
scene_2,74,ghost3dnr,0.0000532194,42.739300,0.996004,83.837036,83.297447
scene_2,75,noisy,0.0001052901,39.776124,0.988218,698.789551,62.591404
scene_2,75,2dnr,0.0001052444,39.778010,0.988227,696.873840,62.591492
scene_2,75,dataset_3dnr,0.0000397761,44.003782,0.994839,123.226151,55.661148
scene_2,75,ghost3dnr,0.0000521356,42.828655,0.996063,81.903687,81.293388
scene_2,76,noisy,0.0001140118,39.430501,0.987133,774.231323,63.967762
scene_2,76,2dnr,0.0001139676,39.432188,0.987142,772.446533,63.966290
scene_2,76,dataset_3dnr,0.0000410256,43.869449,0.994813,124.857376,56.835560
scene_2,76,ghost3dnr,0.0000575198,42.401829,0.996004,85.568329,87.285187
scene_2,77,noisy,0.0000997086,40.012675,0.988876,649.024414,60.883926
scene_2,77,2dnr,0.0000996620,40.014703,0.988885,647.010986,60.882954
scene_2,77,dataset_3dnr,0.0000394157,44.043312,0.994847,119.847076,55.405724
scene_2,77,ghost3dnr,0.0000533056,42.732269,0.996015,82.320198,83.147392
scene_2,78,noisy,0.0001148815,39.397499,0.986926,781.358765,63.896343
scene_2,78,2dnr,0.0001148380,39.399144,0.986935,779.594666,63.895741
scene_2,78,dataset_3dnr,0.0000415597,43.813276,0.994666,124.533882,57.410973
scene_2,78,ghost3dnr,0.0000532114,42.739953,0.995943,82.923042,81.817566
scene_2,79,noisy,0.0001143171,39.418888,0.987035,770.306091,63.773411
scene_2,79,2dnr,0.0001142725,39.420581,0.987044,768.517639,63.773102
scene_2,79,dataset_3dnr,0.0000405248,43.922789,0.994745,123.799255,55.137169
scene_2,79,ghost3dnr,0.0000522859,42.816155,0.995995,81.588501,81.384262
scene_2,80,noisy,0.0001138760,39.435676,0.986925,761.740723,64.314331
scene_2,80,2dnr,0.0001138315,39.437376,0.986935,759.927063,64.314247
scene_2,80,dataset_3dnr,0.0000414167,43.828241,0.994690,121.355247,56.727295
scene_2,80,ghost3dnr,0.0000597461,42.236906,0.995651,87.739723,87.746040
scene_2,81,noisy,0.0001138393,39.437078,0.987093,765.375305,64.203346
scene_2,81,2dnr,0.0001137958,39.438738,0.987102,763.583374,64.203072
scene_2,81,dataset_3dnr,0.0000416153,43.807465,0.994555,124.029167,56.688015
